uuid,round_no,player,yakuman_name,win_type,victim,payment
260406-2a578585-a184-4e39-a776-ed35d841e7e8,6,流れ者金融,国士無双,ロン,ひなんじょ,48000
260406-fb03ddf7-5708-4439-9239-c7b38b0cba0e,5,流れ者金融,国士無双,ロン,アリスkey,48000
260408-9109ff7b-d799-4ae9-a6d8-c2377987bf1e,6,ひなんじょ,国士無双,ロン,29ちゃん,32000
260410-fbd78aaf-23e3-4e51-acea-8030be5dda0a,6,29ちゃん,清老頭,ロン,葡萄海ぶどう,32000
260412-d9b4b1da-dc4c-4aad-983b-6264726f0d3a,6,29ちゃん,国士無双,ロン,ひなんじょ,48000
260412-e93b0713-1e69-4d7b-a6c7-0d11c57a9eb1,3,29ちゃん,大三元,ロン,アリスkey,32000
260413-de1f47d8-0195-4480-8254-2eb4d4196da9,6,アリスkey,四暗刻,ツモ,葡萄海ぶどう,16000
260413-de1f47d8-0195-4480-8254-2eb4d4196da9,6,アリスkey,四暗刻,ツモ,鯛ofカルピス,8000
260415-1b369560-f3a6-4ed5-ad05-107aac3591c2,5,葡萄海ぶどう,四暗刻,ツモ,29ちゃん,8000
260415-1b369560-f3a6-4ed5-ad05-107aac3591c2,5,葡萄海ぶどう,四暗刻,ツモ,ひなんじょ,16000
260416-432cddef-e768-4d3d-8b85-534fc8d37fc7,4,29ちゃん,大三元,ロン,アリスkey,32000
260417-99dee71f-244a-4027-b57e-e1137ac7eaa6,7,29ちゃん,国士無双,ロン,葡萄海ぶどう,48000
260419-f9f781c0-3198-400e-b31b-da96193b103e,7,ひなんじょ,国士無双,ツモ,葡萄海ぶどう,16000
260419-f9f781c0-3198-400e-b31b-da96193b103e,7,ひなんじょ,国士無双,ツモ,鯛ofカルピス,16000
260420-0bdfffe2-b59e-4030-b55e-da0fc416099e,4,ひなんじょ,国士無双,ロン,葡萄海ぶどう,48000
260420-a6efa2b5-21bb-488a-8a1e-69d8f4749532,1,流れ者金融,四暗刻単騎,ツモ,アリスkey,32000
260420-a6efa2b5-21bb-488a-8a1e-69d8f4749532,1,流れ者金融,四暗刻単騎,ツモ,ひなんじょ,16000
260421-af8e7991-c5f3-4750-91f3-0b35ae0df3f2,9,29ちゃん,四暗刻,ツモ,葡萄海ぶどう,8200
260421-af8e7991-c5f3-4750-91f3-0b35ae0df3f2,9,29ちゃん,四暗刻,ツモ,アリスkey,16200
260422-10852b8c-af55-4ad0-b429-9e73fb054030,1,流れ者金融,四暗刻,ツモ,アリスkey,16000
260422-10852b8c-af55-4ad0-b429-9e73fb054030,1,流れ者金融,四暗刻,ツモ,ひなんじょ,16000
260423-658e6283-745c-4621-ad9f-6774d5d72b9c,6,ひなんじょ,国士無双,ロン,アリスkey,32000
260425-425f9e29-a1d8-46ae-b5d0-cc98baa77a3d,10,アリスkey,国士無双,ロン,29ちゃん,32000
260426-57645f9c-6c63-4d6c-9ab3-113cd38eaff4,1,29ちゃん,四暗刻,ツモ,鯛ofカルピス,16000
260426-57645f9c-6c63-4d6c-9ab3-113cd38eaff4,1,29ちゃん,四暗刻,ツモ,葡萄海ぶどう,8000
260427-ba944e06-b3ec-415d-b375-efe81e5d2059,7,ひなんじょ,四暗刻単騎,ロン,葡萄海ぶどう,64000
260502-c135b1ae-25ae-4cd7-bada-48f8f98fcae8,2,ひなんじょ,国士無双,ロン,アリスkey,32000
260504-525f98b4-5c39-473c-aec3-626018b2d1a3,6,アリスkey,国士無双十三面,ロン,ひなんじょ,32000
260504-87d14f89-d0e7-4f04-bce0-116b648c94a8,3,流れ者金融,国士無双,ツモ,ひなんじょ,8000
260504-87d14f89-d0e7-4f04-bce0-116b648c94a8,3,流れ者金融,国士無双,ツモ,アリスkey,16000
260504-d9cefdbb-1cd3-45ca-9335-7e04d8870571,12,ひなんじょ,四暗刻,ツモ,流れ者金融,8100
260504-d9cefdbb-1cd3-45ca-9335-7e04d8870571,12,ひなんじょ,四暗刻,ツモ,アリスkey,16100
260505-255251c8-57e6-4363-acbc-1205461ed84d,10,鯛ofカルピス,四暗刻,ツモ,29ちゃん,16100
260505-255251c8-57e6-4363-acbc-1205461ed84d,10,鯛ofカルピス,四暗刻,ツモ,葡萄海ぶどう,16100
260505-371a31f2-101d-46b4-9ac1-57fa2939bc7f,14,ひなんじょ,国士無双,ロン,葡萄海ぶどう,32000
260507-f347e80a-cbb7-47ec-a3de-41b6baa7a552,6,ひなんじょ,四暗刻単騎,ロン,29ちゃん,32000
260510-e321747d-aa11-4935-828a-ac46a2d73836,5,鯛ofカルピス,四暗刻,ツモ,葡萄海ぶどう,8000
260510-e321747d-aa11-4935-828a-ac46a2d73836,5,鯛ofカルピス,四暗刻,ツモ,アリスkey,16000
