uuid,round_no,player,yakuman_name,win_type,victim,payment
260406-2a578585-a184-4e39-a776-ed35d841e7e8,6,流れ者金融,国士無双,ロン,ひなんじょ,48000
260406-fb03ddf7-5708-4439-9239-c7b38b0cba0e,5,流れ者金融,国士無双,ロン,アリスkey,48000
260408-9109ff7b-d799-4ae9-a6d8-c2377987bf1e,6,ひなんじょ,国士無双,ロン,29ちゃん,32000
260410-fbd78aaf-23e3-4e51-acea-8030be5dda0a,6,29ちゃん,清老頭,ロン,葡萄海ぶどう,32000
260412-d9b4b1da-dc4c-4aad-983b-6264726f0d3a,6,29ちゃん,国士無双,ロン,ひなんじょ,48000
260412-e93b0713-1e69-4d7b-a6c7-0d11c57a9eb1,3,29ちゃん,大三元,ロン,アリスkey,32000
260413-de1f47d8-0195-4480-8254-2eb4d4196da9,6,アリスkey,四暗刻,ツモ,葡萄海ぶどう,16000
260413-de1f47d8-0195-4480-8254-2eb4d4196da9,6,アリスkey,四暗刻,ツモ,鯛ofカルピス,8000
260415-1b369560-f3a6-4ed5-ad05-107aac3591c2,5,葡萄海ぶどう,四暗刻,ツモ,29ちゃん,8000
260415-1b369560-f3a6-4ed5-ad05-107aac3591c2,5,葡萄海ぶどう,四暗刻,ツモ,ひなんじょ,16000
260416-432cddef-e768-4d3d-8b85-534fc8d37fc7,4,29ちゃん,大三元,ロン,アリスkey,32000
260417-99dee71f-244a-4027-b57e-e1137ac7eaa6,7,29ちゃん,国士無双,ロン,葡萄海ぶどう,48000
260419-f9f781c0-3198-400e-b31b-da96193b103e,7,ひなんじょ,国士無双,ツモ,葡萄海ぶどう,16000
260419-f9f781c0-3198-400e-b31b-da96193b103e,7,ひなんじょ,国士無双,ツモ,鯛ofカルピス,16000
260420-0bdfffe2-b59e-4030-b55e-da0fc416099e,4,ひなんじょ,国士無双,ロン,葡萄海ぶどう,48000
260420-a6efa2b5-21bb-488a-8a1e-69d8f4749532,1,流れ者金融,四暗刻単騎,ツモ,アリスkey,32000
260420-a6efa2b5-21bb-488a-8a1e-69d8f4749532,1,流れ者金融,四暗刻単騎,ツモ,ひなんじょ,16000
